"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.978377664E1,6.778350413E1,2.482210429E1,2.398924273E2,1.299999952E0,2.801000061E2,3.790092468E0,2.500000000E0
8.078429492E1,6.778350515E1,2.482207096E1,2.397951560E2,1.259999990E0,2.812000122E2,3.790092468E0,2.500000000E0
8.178386445E1,6.778350493E1,2.482203839E1,2.396402714E2,1.250000000E0,2.707000122E2,3.790092468E0,2.500000000E0
8.278336096E1,6.778350515E1,2.482200836E1,2.395278081E2,1.169999957E0,2.802999878E2,3.790092468E0,2.500000000E0
8.378357523E1,6.778350727E1,2.482197874E1,2.392726408E2,1.289999962E0,2.836000061E2,3.790092468E0,2.500000000E0
8.478425830E1,6.778350870E1,2.482194694E1,2.390341960E2,1.299999952E0,2.752999878E2,3.790092468E0,2.500000000E0
8.578391377E1,6.778351053E1,2.482191618E1,2.386317501E2,1.259999990E0,2.802999878E2,3.790092468E0,2.500000000E0
8.678352424E1,6.778351366E1,2.482188797E1,2.388649243E2,1.210000038E0,2.831000061E2,3.790092468E0,2.500000000E0
8.778403590E1,6.778351661E1,2.482185650E1,2.389022332E2,1.419999957E0,2.808999939E2,3.790092468E0,2.500000000E0
8.878370392E1,6.778352018E1,2.482182589E1,2.381879548E2,1.360000014E0,2.886000061E2,3.790092468E0,2.500000000E0
8.978407049E1,6.778352300E1,2.482179391E1,2.378648508E2,1.360000014E0,2.790000000E2,3.790092468E0,2.500000000E0
9.078409689E1,6.778352330E1,2.482176047E1,2.374533721E2,1.360000014E0,2.651000061E2,3.790092468E0,2.500000000E0
9.178402694E1,6.778352367E1,2.482172592E1,2.372099216E2,1.440000057E0,2.745000000E2,3.790092468E0,2.500000000E0
9.278365569E1,6.778352454E1,2.482169076E1,2.371238180E2,1.360000014E0,2.762000122E2,3.790092468E0,2.500000000E0
9.378363517E1,6.778352597E1,2.482166197E1,2.368860482E2,1.279999971E0,2.743999939E2,3.790092468E0,2.500000000E0
9.478391845E1,6.778352977E1,2.482163443E1,2.366359453E2,1.389999986E0,2.868999939E2,3.790092468E0,2.500000000E0
9.578410345E1,6.778353195E1,2.482160537E1,2.362670089E2,1.350000024E0,2.715000000E2,3.790092468E0,2.500000000E0
9.678429184E1,6.778353246E1,2.482157547E1,2.359689982E2,1.309999943E0,2.692000122E2,3.790092468E0,2.500000000E0
9.778428668E1,6.778353261E1,2.482154565E1,2.355350023E2,1.269999981E0,2.718999939E2,3.790092468E0,2.500000000E0
9.878356288E1,6.778353329E1,2.482151379E1,2.354852189E2,1.320000052E0,2.663999939E2,3.790092468E0,2.500000000E0
9.978393288E1,6.778353171E1,2.482148246E1,2.351131758E2,1.350000024E0,2.586000061E2,3.790092468E0,2.500000000E0
1.007834045E2,6.778352978E1,2.482145018E1,2.350140207E2,1.370000005E0,2.580000000E2,3.790092468E0,2.500000000E0
1.017838101E2,6.778352905E1,2.482141674E1,2.348038994E2,1.379999995E0,2.667999878E2,3.790092468E0,2.500000000E0
1.027842324E2,6.778352884E1,2.482138301E1,2.351241720E2,1.350000024E0,2.662000122E2,3.790092468E0,2.500000000E0
1.037843061E2,6.778352967E1,2.482134874E1,2.350684650E2,1.360000014E0,2.741000061E2,3.790092468E0,2.500000000E0
1.047838464E2,6.778353114E1,2.482131530E1,2.351379405E2,1.330000043E0,2.730000000E2,3.790092468E0,2.500000000E0
1.057839710E2,6.778353293E1,2.482128462E1,2.353824675E2,1.210000038E0,2.767999878E2,3.790092468E0,2.500000000E0
1.067834118E2,6.778353539E1,2.482125539E1,2.353790087E2,1.269999981E0,2.815000000E2,3.790092468E0,2.500000000E0
1.077837436E2,6.778353813E1,2.482122525E1,2.352792348E2,1.320000052E0,2.793999939E2,3.790092468E0,2.500000000E0
1.087841476E2,6.778354119E1,2.482119647E1,2.350238220E2,1.309999943E0,2.866000061E2,3.790092468E0,2.500000000E0
1.097835048E2,6.778354559E1,2.482116994E1,2.349356452E2,1.240000010E0,2.915000000E2,3.790092468E0,2.500000000E0
1.107840286E2,6.778355023E1,2.482114349E1,2.349558662E2,1.279999971E0,2.986000061E2,3.790092468E0,2.500000000E0
1.117833278E2,6.778355653E1,2.482111920E1,2.351812862E2,1.279999971E0,3.108999939E2,3.790092468E0,2.500000000E0
1.127836609E2,6.778356333E1,2.482109637E1,2.352514333E2,1.289999962E0,3.082999878E2,3.790092468E0,2.500000000E0
1.137841291E2,6.778356940E1,2.482106894E1,2.352622504E2,1.389999986E0,3.008999939E2,3.790092468E0,2.500000000E0
1.147836251E2,6.778357497E1,2.482104165E1,2.352869849E2,1.320000052E0,3.035000000E2,3.790092468E0,2.500000000E0
1.157841110E2,6.778358063E1,2.482101619E1,2.354462428E2,1.279999971E0,3.041000061E2,3.790092468E0,2.500000000E0
1.167836837E2,6.778358568E1,2.482099214E1,2.352637070E2,1.210000038E0,3.010000000E2,3.790092468E0,2.500000000E0
1.177843130E2,6.778359137E1,2.482096891E1,2.354194276E2,1.210000038E0,3.063999939E2,3.790092468E0,2.500000000E0
1.187839022E2,6.778359619E1,2.482094602E1,2.350377970E2,1.220000029E0,3.011000061E2,3.790092468E0,2.500000000E0
1.197834019E2,6.778360107E1,2.482092078E1,2.348601430E2,1.240000010E0,2.951000061E2,3.790092468E0,2.500000000E0
1.207837012E2,6.778360625E1,2.482089560E1,2.348406915E2,1.269999981E0,2.987000122E2,3.790092468E0,2.500000000E0
1.217840615E2,6.778361318E1,2.482087193E1,2.348111058E2,1.269999981E0,3.102000122E2,3.790092468E0,2.500000000E0
1.227834845E2,6.778361902E1,2.482084844E1,2.348484175E2,1.230000019E0,2.962000122E2,3.790092468E0,2.500000000E0
1.237837236E2,6.778362366E1,2.482082169E1,2.344416362E2,1.309999943E0,2.958999939E2,3.790092468E0,2.500000000E0
1.247836332E2,6.778362942E1,2.482079380E1,2.343610839E2,1.379999995E0,3.012999878E2,3.790092468E0,2.500000000E0
1.257837113E2,6.778363467E1,2.482076650E1,2.339904944E2,1.320000052E0,2.988999939E2,3.790092468E0,2.500000000E0
1.267834909E2,6.778364002E1,2.482074161E1,2.340201151E2,1.220000029E0,2.975000000E2,3.790092468E0,2.500000000E0
1.277833719E2,6.778364464E1,2.482071509E1,2.340684123E2,1.259999990E0,2.956000061E2,3.790092468E0,2.500000000E0
1.287838124E2,6.778364827E1,2.482068731E1,2.337733266E2,1.299999952E0,2.847999878E2,3.790092468E0,2.500000000E0
1.297842861E2,6.778365000E1,2.482065688E1,2.336949780E2,1.289999962E0,2.766000061E2,3.790092468E0,2.500000000E0
1.307838439E2,6.778365187E1,2.482062864E1,2.334977352E2,1.210000038E0,2.827000122E2,3.790092468E0,2.500000000E0
1.317834585E2,6.778365450E1,2.482059973E1,2.332627701E2,1.299999952E0,2.853999939E2,3.790092468E0,2.500000000E0
1.327839532E2,6.778365841E1,2.482057057E1,2.328816835E2,1.269999981E0,2.932000122E2,3.790092468E0,2.500000000E0
1.337835709E2,6.778366754E1,2.482054327E1,2.327464365E2,1.649999976E0,3.153999939E2,3.790092468E0,2.500000000E0
1.347841109E2,6.778367942E1,2.482051620E1,2.333627701E2,1.649999976E0,3.177999878E2,3.790092468E0,2.500000000E0
1.357842157E2,6.778369216E1,2.482049287E1,2.346166184E2,1.590000033E0,3.207999878E2,3.790092468E0,2.500000000E0
